<Header>
"FileVersion,2.0"
"SoftwareVersion,2.3.0.44"
"SystemType,Gen3"
</Header>
<Sample_Attributes>
"ID,01014"
"Owner,Administrator"
"Comments,"
"Date,20220128"
"GeneRLF,NS_IO_360_v1.0"
"SystemAPF,n6_vDV1"
"AssayType,Non Specific"
</Sample_Attributes>
<Lane_Attributes>
"ID,2"
"FovCount,194"
"FovCounted,193"
"ScannerID,1706P0203"
"StagePosition,1"
"BindingDensity,1.63"
"CartridgeID,30102613280522-01"
"CartridgeBarcode,30102613280522"
</Lane_Attributes>
<Code_Summary>
"CodeClass,Name,Accession,Count"
"Endogenous,RAD51C,NM_058216.2,211"
"Endogenous,HLA-DMA,NM_006120.3,1405"
"Endogenous,SFRP1,NM_003012.3,144"
"Endogenous,MAGEA1,NM_004988.4,28"
"Endogenous,ENTPD1,NM_001098175.1,664"
"Endogenous,ROCK1,NM_005406.2,329"
"Endogenous,FCGR2A,NM_021642.3,955"
"Endogenous,NGFR,NM_002507.3,54"
"Endogenous,ALDOC,NM_005165.2,147"
"Endogenous,CCNE1,NM_001238.1,212"
"Endogenous,ITGAX,NM_000887.4,897"
"Endogenous,BLM,NM_000057.3,158"
"Endogenous,MLANA,NM_005511.1,32"
"Endogenous,FCGR1A,NM_000566.3,268"
"Endogenous,CD47,NM_001777.3,2109"
"Endogenous,CSF2,NM_000758.3,14"
"Endogenous,CDH5,NM_001795.3,273"
"Endogenous,SLC7A5,NM_003486.6,517"
"Endogenous,GIMAP4,NM_018326.2,703"
"Endogenous,HIF1A,NM_181054.2,1620"
"Endogenous,CDK2,NM_001290230.1,1261"
"Endogenous,PDCD1,NM_005018.1,30"
"Endogenous,ATF3,NM_001674.3,277"
"Endogenous,TIE1,NM_005424.4,342"
"Endogenous,CD44,NM_001001392.1,3640"
"Endogenous,ALDOA,NM_000034.3,8295"
"Endogenous,FAS,NM_000043.3,126"
"Endogenous,MRE11,NM_001330347.1,545"
"Endogenous,IL10,NM_000572.2,55"
"Endogenous,BMP2,NM_001200.3,64"
"Endogenous,BAX,NM_004324.3,1184"
"Endogenous,EIF5AL1,NM_001099692.1,20"
"Endogenous,KIT,NM_000222.2,364"
"Endogenous,CDK6,NM_001145306.1,260"
"Endogenous,SPIB,NM_003121.3,40"
"Endogenous,PFKFB3,NM_004566.3,291"
"Endogenous,CXCL12,NM_199168.3,482"
"Endogenous,CSF3,NM_000759.3,9"
"Endogenous,KIR2DL3,NM_015868.2,21"
"Endogenous,CD40,NM_001250.5,249"
"Endogenous,IRF1,NM_002198.2,578"
"Endogenous,MGMT,NM_002412.3,733"
"Endogenous,GLUD1,NM_005271.2,2944"
"Endogenous,IFI35,NM_005533.4,644"
"Endogenous,PF4,NM_002619.3,15"
"Endogenous,GPSM3,NM_001276501.1,312"
"Endogenous,SLC2A1,NM_006516.2,80"
"Endogenous,IL2,NM_000586.2,27"
"Endogenous,SNAI1,NM_005985.3,178"
"Endogenous,CTNNB1,NM_001098209.1,8136"
"Endogenous,NOTCH2,NM_024408.3,1689"
"Endogenous,NFKB2,NM_001077494.3,1193"
"Endogenous,IL33,NM_033439.3,89"
"Endogenous,TREM2,NM_018965.3,678"
"Endogenous,LAMC2,NM_005562.2,163"
"Endogenous,AQP9,NM_001320635.1,118"
"Endogenous,PRKCA,NM_002737.2,112"
"Endogenous,TSLP,NM_033035.4,22"
"Endogenous,HLA-DOB,NM_002120.3,34"
"Endogenous,ANGPTL4,NM_001039667.2,33"
"Endogenous,TNFRSF25,NM_148970.1,261"
"Endogenous,MS4A4A,NM_001243266.1,654"
"Endogenous,CLEC5A,NM_013252.2,139"
"Endogenous,ITGAM,NM_000632.3,153"
"Endogenous,MMP9,NM_004994.2,183"
"Endogenous,CD7,NM_006137.6,54"
"Endogenous,VHL,NM_198156.1,350"
"Endogenous,OLFML2B,NM_015441.1,607"
"Endogenous,IL6,NM_000600.3,25"
