treatment,code_class,gene,accesion_number,lower_bound_pre_count,upper_bound_pre_count,lower_bound_post_count,upper_bound_post_count,mean_pre,mean_post,count_value,log2_transformed
1,Endogenous,JAG2,NM_002226.4,-80,216,17.5,37.5,74.8,26,NA,NA
1,Endogenous,JAG2,NM_002226.4,-80,216,17.5,37.5,74.8,26,24,4.584962500721156
1,Endogenous,JAG2,NM_002226.4,-80,216,17.5,37.5,74.8,26,25,4.643856189774724
1,Endogenous,JAG2,NM_002226.4,-80,216,17.5,37.5,74.8,26,25,4.643856189774724
0,Endogenous,C5,NM_001317163.1,-286.5,597.5,39.5,123.5,161.4,76.8,21,4.392317422778761
0,Endogenous,C5,NM_001317163.1,-286.5,597.5,39.5,123.5,161.4,76.8,266,8.055282435501189
0,Endogenous,C5,NM_001317163.1,-286.5,597.5,39.5,123.5,161.4,76.8,424,8.727920454563199
0,Endogenous,C5,NM_001317163.1,-286.5,597.5,39.5,123.5,161.4,76.8,45,5.491853096329675
0,Endogenous,C5,NM_001317163.1,-286.5,597.5,39.5,123.5,161.4,76.8,51,5.672425341971495
1,Endogenous,C5,NM_001317163.1,-286.5,597.5,39.5,123.5,161.4,76.8,74,6.20945336562895
1,Endogenous,C5,NM_001317163.1,-286.5,597.5,39.5,123.5,161.4,76.8,NA,NA
1,Endogenous,C5,NM_001317163.1,-286.5,597.5,39.5,123.5,161.4,76.8,92,6.523561956057013
1,Endogenous,C5,NM_001317163.1,-286.5,597.5,39.5,123.5,161.4,76.8,70,6.129283016944966
1,Endogenous,C5,NM_001317163.1,-286.5,597.5,39.5,123.5,161.4,76.8,71,6.149747119504682
0,Endogenous,CD79B,NM_001039933.1,-2,38,0.5,28.5,18.2,11.8,13,3.700439718141092
0,Endogenous,CD79B,NM_001039933.1,-2,38,0.5,28.5,18.2,11.8,18,4.169925001442312
0,Endogenous,CD79B,NM_001039933.1,-2,38,0.5,28.5,18.2,11.8,23,4.523561956057013
0,Endogenous,CD79B,NM_001039933.1,-2,38,0.5,28.5,18.2,11.8,25,4.643856189774724
0,Endogenous,CD79B,NM_001039933.1,-2,38,0.5,28.5,18.2,11.8,12,3.584962500721156
1,Endogenous,CD79B,NM_001039933.1,-2,38,0.5,28.5,18.2,11.8,11,3.4594316186372973
1,Endogenous,CD79B,NM_001039933.1,-2,38,0.5,28.5,18.2,11.8,NA,NA
1,Endogenous,CD79B,NM_001039933.1,-2,38,0.5,28.5,18.2,11.8,7,2.807354922057604
1,Endogenous,CD79B,NM_001039933.1,-2,38,0.5,28.5,18.2,11.8,11,3.4594316186372973
1,Endogenous,CD79B,NM_001039933.1,-2,38,0.5,28.5,18.2,11.8,18,4.169925001442312
0,Endogenous,CXCR2,NM_001557.3,-20.5,87.5,25,57,31.8,44,17,4.087462841250339
0,Endogenous,CXCR2,NM_001557.3,-20.5,87.5,25,57,31.8,44,50,5.643856189774724
0,Endogenous,CXCR2,NM_001557.3,-20.5,87.5,25,57,31.8,44,47,5.554588851677638
0,Endogenous,CXCR2,NM_001557.3,-20.5,87.5,25,57,31.8,44,25,4.643856189774724
0,Endogenous,CXCR2,NM_001557.3,-20.5,87.5,25,57,31.8,44,20,4.321928094887363
1,Endogenous,CXCR2,NM_001557.3,-20.5,87.5,25,57,31.8,44,NA,NA
1,Endogenous,CXCR2,NM_001557.3,-20.5,87.5,25,57,31.8,44,45,5.491853096329675
1,Endogenous,CXCR2,NM_001557.3,-20.5,87.5,25,57,31.8,44,51,5.672425341971495
1,Endogenous,CXCR2,NM_001557.3,-20.5,87.5,25,57,31.8,44,43,5.426264754702098
1,Endogenous,CXCR2,NM_001557.3,-20.5,87.5,25,57,31.8,44,37,5.20945336562895
0,Endogenous,PSMB10,NM_002801.3,-339,965,-12.5,255.5,242,110.5,79,6.303780748177103
0,Endogenous,PSMB10,NM_002801.3,-339,965,-12.5,255.5,242,110.5,476,8.894817763307943
0,Endogenous,PSMB10,NM_002801.3,-339,965,-12.5,255.5,242,110.5,NA,NA
0,Endogenous,PSMB10,NM_002801.3,-339,965,-12.5,255.5,242,110.5,263,8.038918989292302
0,Endogenous,PSMB10,NM_002801.3,-339,965,-12.5,255.5,242,110.5,150,7.22881869049588
1,Endogenous,PSMB10,NM_002801.3,-339,965,-12.5,255.5,242,110.5,77,6.266786540694901
1,Endogenous,PSMB10,NM_002801.3,-339,965,-12.5,255.5,242,110.5,NA,NA
1,Endogenous,PSMB10,NM_002801.3,-339,965,-12.5,255.5,242,110.5,88,6.459431618637297
1,Endogenous,PSMB10,NM_002801.3,-339,965,-12.5,255.5,242,110.5,122,6.930737337562887
1,Endogenous,PSMB10,NM_002801.3,-339,965,-12.5,255.5,242,110.5,155,7.2761244052742375
0,Endogenous,ZEB1,NM_001128128.2,-654,1594,107,579,455,305,138,7.108524456778169
0,Endogenous,ZEB1,NM_001128128.2,-654,1594,107,579,455,305,751,9.552669097514272
0,Endogenous,ZEB1,NM_001128128.2,-654,1594,107,579,455,305,863,9.753216749178955
0,Endogenous,ZEB1,NM_001128128.2,-654,1594,107,579,455,305,189,7.562242424221073
0,Endogenous,ZEB1,NM_001128128.2,-654,1594,107,579,455,305,334,8.383704292474052
1,Endogenous,ZEB1,NM_001128128.2,-654,1594,107,579,455,305,219,7.774787059601174
1,Endogenous,ZEB1,NM_001128128.2,-654,1594,107,579,455,305,NA,NA
1,Endogenous,ZEB1,NM_001128128.2,-654,1594,107,579,455,305,315,8.29920801838728
1,Endogenous,ZEB1,NM_001128128.2,-654,1594,107,579,455,305,284,8.149747119504681
1,Endogenous,ZEB1,NM_001128128.2,-654,1594,107,579,455,305,402,8.651051691178928
0,Endogenous,ANLN,NM_018685.2,-80.5,347.5,-16.5,115.5,116.5,45.5,121,6.918863237274595
0,Endogenous,ANLN,NM_018685.2,-80.5,347.5,-16.5,115.5,116.5,45.5,187,7.546894459887636
0,Endogenous,ANLN,NM_018685.2,-80.5,347.5,-16.5,115.5,116.5,45.5,NA,NA
0,Endogenous,ANLN,NM_018685.2,-80.5,347.5,-16.5,115.5,116.5,45.5,78,6.285402218862249
0,Endogenous,ANLN,NM_018685.2,-80.5,347.5,-16.5,115.5,116.5,45.5,80,6.321928094887363
1,Endogenous,ANLN,NM_018685.2,-80.5,347.5,-16.5,115.5,116.5,45.5,22,4.459431618637297
1,Endogenous,ANLN,NM_018685.2,-80.5,347.5,-16.5,115.5,116.5,45.5,NA,NA
1,Endogenous,ANLN,NM_018685.2,-80.5,347.5,-16.5,115.5,116.5,45.5,33,5.044394119358453
1,Endogenous,ANLN,NM_018685.2,-80.5,347.5,-16.5,115.5,116.5,45.5,61,5.930737337562887
1,Endogenous,ANLN,NM_018685.2,-80.5,347.5,-16.5,115.5,116.5,45.5,66,6.044394119358453
0,Endogenous,TAF3,NM_031923.3,-18,102,11.5,39.5,34.8,21.5,19,4.247927513443585
0,Endogenous,TAF3,NM_031923.3,-18,102,11.5,39.5,34.8,21.5,57,5.832890014164741
0,Endogenous,TAF3,NM_031923.3,-18,102,11.5,39.5,34.8,21.5,NA,NA
0,Endogenous,TAF3,NM_031923.3,-18,102,11.5,39.5,34.8,21.5,27,4.754887502163468
0,Endogenous,TAF3,NM_031923.3,-18,102,11.5,39.5,34.8,21.5,36,5.169925001442312
1,Endogenous,TAF3,NM_031923.3,-18,102,11.5,39.5,34.8,21.5,22,4.459431618637297
1,Endogenous,TAF3,NM_031923.3,-18,102,11.5,39.5,34.8,21.5,NA,NA
1,Endogenous,TAF3,NM_031923.3,-18,102,11.5,39.5,34.8,21.5,13,3.700439718141092
