code_class,gene,accesion_number,pre_count_1,post_count_1,pre_count_2,post_count_2,pre_count_3,post_count_3,pre_count_4,post_count_4,pre_count_5,post_count_5,lower_bound,upper_bound,mean_pre,mean_post
Endogenous,FPR1,NM_002029.3,26,34,145,NA,243,52,59,77,34,120,-50,222,101.4,70.8
Endogenous,DUSP5,NM_004419.3,1036,402,NA,NA,1061,89,398,231,623,134,-268,804,779.5,214
Endogenous,APC,NM_001127510.2,394,595,1254,NA,1589,358,287,299,396,698,-152,1208,784,487.5
Endogenous,HDAC3,NM_003883.3,224,400,997,658,840,152,146,153,179,223,-217.5,770.5,477.2,317.2
Endogenous,CES3,NM_001185176.1,55,13,31,NA,NA,12,13,18,14,25,-5,43,28.2,17
Endogenous,OAS2,NM_016817.2,1380,173,1455,NA,NA,196,465,263,264,815,-732.5,1743.5,891,361.8
Endogenous,HDAC11,NM_001330636.1,51,86,625,NA,362,88,67,NA,80,76,58,106,237,83.3
Endogenous,THBS1,NM_003246.2,1778,1329,5385,NA,NA,3021,1032,1817,3261,6280,-4877.5,12974.5,2864,3111.8
Endogenous,SLC11A1,NM_000578.3,41,NA,39,NA,NA,41,15,46,28,46,33.5,53.5,30.8,44.3
Endogenous,MAGEA3/A6,NM_005362.3,NA,10,13,NA,11,16,7,12,17,8,1,25,12,11.5
Endogenous,ARID1A,NM_006015.4,316,291,1886,NA,2128,375,261,240,379,365,165,501,994,317.8
Endogenous,CD48,NM_001778.3,26,11,62,NA,NA,23,66,32,42,47,-13,83,49,28.2
Endogenous,GZMA,NM_006144.3,13,19,49,NA,106,25,106,29,43,43,-2,70,63.4,29
Endogenous,ICOSLG,NM_015259.4,130,92,259,NA,355,134,114,59,67,137,24.5,204.5,185,105.5
Endogenous,PIK3R5,NM_014308.3,37,39,185,NA,NA,62,99,91,68,89,18.5,134.5,97.2,70.2
Endogenous,GZMM,NM_005317.2,13,14,30,NA,53,9,19,16,12,13,8.5,20.5,25.4,13
Endogenous,WNT5A,NM_003392.3,109,25,540,373,453,297,31,51,43,84,-318,666,235.2,166
Endogenous,TLR4,NR_024168.1,79,NA,699,NA,1046,233,321,263,219,297,137,393,472.8,264.3
Endogenous,GZMB,NM_004131.4,8,5,16,NA,12,6,10,7,6,11,-1.5,18.5,10.4,7.2
Endogenous,PARP9,NM_001146103.1,445,176,702,NA,1050,112,336,327,452,343,-74.5,593.5,597,239.5
Endogenous,LY96,NM_001195797.1,154,147,403,652,654,242,567,271,309,437,-50.5,729.5,417.4,349.8
Endogenous,RAD50,NM_005732.3,612,1386,1609,1340,1532,477,592,283,546,829,-817.5,2634.5,978.2,863
Endogenous,MX1,NM_001144925.2,451,127,480,NA,735,66,57,75,206,234,-163.5,472.5,385.8,125.5
Endogenous,CENPF,NM_016343.3,126,11,142,NA,NA,59,52,37,90,127,-98,262,102.5,58.5
Endogenous,SELL,NM_000655.4,9,24,85,NA,131,23,34,23,32,NA,21.5,25.5,58.2,23.3
Endogenous,TNFSF10,NM_003810.3,378,NA,5182,NA,5154,802,3620,809,475,961,563.5,1199.5,2961.8,857.3
Endogenous,IL12RB2,NM_001319233.1,23,10,22,NA,48,11,64,26,24,20,-11.5,48.5,36.2,16.8
Endogenous,CXCL9,NM_002416.2,22,26,107,NA,1235,46,1304,93,135,82,-24.5,163.5,560.6,61.8
Endogenous,TRAT1,NM_016388.3,NA,13,38,NA,NA,11,43,24,32,21,-3.5,40.5,37.7,17.2
Endogenous,STC1,NM_003155.2,61,129,306,NA,426,38,32,24,46,241,-266.5,545.5,174.2,108
Endogenous,IL2RB,NM_000878.2,18,NA,179,NA,NA,29,130,29,55,32,24.5,36.5,95.5,30
Endogenous,LILRB4,NM_001278426.3,44,69,150,NA,NA,117,157,94,79,107,59.5,151.5,107.5,96.8
